"Timestamp","Central_Latitude_Decimal","Central_Longitude_Decimal","Path Width (km)"
2024-04-08 12:47:05,-3.28675099044903,-140.019679605017,171
2024-04-08 12:47:06,-3.27940120656872,-140.000341115887,171
2024-04-08 12:47:07,-3.27205543259335,-139.981029960936,171
2024-04-08 12:47:08,-3.26471366340562,-139.961746077119,171
2024-04-08 12:47:09,-3.25737589388821,-139.942489401394,171
2024-04-08 12:47:10,-3.25004211892383,-139.923259870716,171
2024-04-08 12:47:11,-3.24271233339516,-139.90405742204,171
2024-04-08 12:47:12,-3.2353865321849,-139.884881992324,171
2024-04-08 12:47:13,-3.22806471017574,-139.865733518522,171
2024-04-08 12:47:14,-3.22074686225037,-139.846611937592,171
2024-04-08 12:47:15,-3.2134329832915,-139.827517186489,171
2024-04-08 12:47:16,-3.2061230681818,-139.808449202169,171
2024-04-08 12:47:17,-3.19881711180399,-139.789407921588,171
2024-04-08 12:47:18,-3.19151510904074,-139.770393281702,171
2024-04-08 12:47:19,-3.18421705477475,-139.751405219468,171
2024-04-08 12:47:20,-3.17692294388872,-139.732443671841,171
2024-04-08 12:47:21,-3.16963277126534,-139.713508575777,171
2024-04-08 12:47:22,-3.16234653178731,-139.694599868232,171
2024-04-08 12:47:23,-3.15506422033731,-139.675717486163,171
2024-04-08 12:47:24,-3.14778583179804,-139.656861366526,171
2024-04-08 12:47:25,-3.14051136105219,-139.638031446276,171
2024-04-08 12:47:26,-3.13324080298246,-139.619227662369,171
2024-04-08 12:47:27,-3.12597415247155,-139.600449951762,171
2024-04-08 12:47:28,-3.11871140440214,-139.58169825141,171
2024-04-08 12:47:29,-3.11145255365692,-139.56297249827,171
2024-04-08 12:47:30,-3.1041975951186,-139.544272629298,171
2024-04-08 12:47:31,-3.09694652366986,-139.525598581449,171
2024-04-08 12:47:32,-3.0896993341934,-139.50695029168,171
2024-04-08 12:47:33,-3.08245602157191,-139.488327696947,171
2024-04-08 12:47:34,-3.07521658068809,-139.469730734206,171
2024-04-08 12:47:35,-3.06798100642463,-139.451159340412,171
2024-04-08 12:47:36,-3.06074929366422,-139.432613452522,171
2024-04-08 12:47:37,-3.05352143728956,-139.414093007492,171
2024-04-08 12:47:38,-3.04629743218333,-139.395597942278,171
2024-04-08 12:47:39,-3.03907727322824,-139.377128193836,171
2024-04-08 12:47:40,-3.03186095530698,-139.358683699122,171
2024-04-08 12:47:41,-3.02464847330223,-139.340264395091,171
2024-04-08 12:47:42,-3.0174398220967,-139.321870218701,171
2024-04-08 12:47:43,-3.01023499657308,-139.303501106907,171
2024-04-08 12:47:44,-3.00303399161406,-139.285156996665,171
2024-04-08 12:47:45,-2.99583680210233,-139.266837824931,171
2024-04-08 12:47:46,-2.98864342292059,-139.248543528661,171
2024-04-08 12:47:47,-2.98145384895153,-139.230274044812,171
2024-04-08 12:47:48,-2.97426807507785,-139.212029310338,171
2024-04-08 12:47:49,-2.96708609618224,-139.193809262197,171
2024-04-08 12:47:50,-2.95990790714738,-139.175613837344,171
2024-04-08 12:47:51,-2.95273350285599,-139.157442972736,171
2024-04-08 12:47:52,-2.94556287819074,-139.139296605328,171
2024-04-08 12:47:53,-2.93839602803433,-139.121174672076,171
2024-04-08 12:47:54,-2.93123294726946,-139.103077109937,171
2024-04-08 12:47:55,-2.92407363077882,-139.085003855866,171
2024-04-08 12:47:56,-2.9169180734451,-139.06695484682,171
2024-04-08 12:47:57,-2.909766270151,-139.048930019754,171
2024-04-08 12:47:58,-2.90261821577921,-139.030929311625,171
2024-04-08 12:47:59,-2.89547390521242,-139.012952659388,171
2024-04-08 12:48:00,-2.88833333333333,-138.995,174
2024-04-08 12:48:01,-2.88119649381124,-138.97707126969,174
2024-04-08 12:48:02,-2.87406337546186,-138.95916640178,174
2024-04-08 12:48:03,-2.86693396588751,-138.941285328865,174
